,AR,Vol,MDD,Sharpe,Sortino,Calmar
ORCA + static_γ=0.5,0.0,0.0,0.0,0.0,0.0,0.0
ORCA + static_γ=0.75,0.0,0.0,0.0,0.0,0.0,0.0
ORCA + static_γ=1.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCA + static_γ=1.25,0.0,0.0,0.0,0.0,0.0,0.0
ORCA + static_γ=1.5,0.0,0.0,0.0,0.0,0.0,0.0
ORCA + static_γ=2.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCA + ou_κ=0.5,0.0,0.0,0.0,0.0,0.0,0.0
ORCA + ou_κ=1.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCA + ou_κ=1.5,0.0,0.0,0.0,0.0,0.0,0.0
ORCA + ou_κ=2.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCA + adaptive_κ=0.75,0.0,0.0,0.0,0.0,0.0,0.0
ORCA + adaptive_κ=1.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCA + adaptive_κ=1.5,0.0,0.0,0.0,0.0,0.0,0.0
kmeans_20 + static_γ=0.5,0.5477934858313395,0.13626925885922886,0.07474248115229065,3.205641263768685,6.681468109301731,7.329078154566335
kmeans_20 + static_γ=0.75,0.5902303832697591,0.14610592878847256,0.08058731741743419,3.1749491941949577,6.514149789067818,7.324110073206993
kmeans_20 + static_γ=1.0,0.6605549308827182,0.1585221152129741,0.06744035642799039,3.199249779976841,5.675456745189975,9.794653614976479
kmeans_20 + static_γ=1.25,0.7143427713238285,0.16044450403915697,0.06402245822772444,3.3596026656013875,5.917176083985778,11.15769045891599
kmeans_20 + static_γ=1.5,0.7542845739905282,0.17325614969307743,0.07223764301833868,3.2441048970195956,5.897190704256679,10.441710754585957
kmeans_20 + static_γ=2.0,0.9947059986166303,0.22268923609390961,0.11243608213595173,3.100718662828739,5.953807593364728,8.84685751869124
kmeans_30 + static_γ=0.5,0.535681117730752,0.13525047916877223,0.06672893908166071,3.171700463945188,6.102698131189052,8.027718184987219
kmeans_30 + static_γ=0.75,0.5850168241838414,0.14202292206228492,0.05606980865216343,3.2431034033924604,6.606956543778328,10.43372250141019
kmeans_30 + static_γ=1.0,0.6393404434913743,0.1493475569082447,0.04449957431398507,3.3096891745305665,8.261295139057605,14.367338414975492
kmeans_30 + static_γ=1.25,0.6842364001597877,0.1633882777814431,0.05708652177291727,3.1906345619695657,6.487406872455563,11.985953582556505
kmeans_30 + static_γ=1.5,0.7317846580668712,0.1692443920054571,0.06459524804625905,3.2447306793041877,6.731401715071267,11.328769223748674
kmeans_30 + static_γ=2.0,0.8696467129786767,0.21822362033816783,0.10820496971819096,2.8674691058085036,4.699731938361081,8.03703115710475
dbscan_0.1 + static_γ=0.5,0.34146522244834243,0.1745714020052838,0.20015375360902238,1.6827639739163776,2.193349251920515,1.706014582746002
dbscan_0.1 + static_γ=0.75,0.5216095742535332,0.19110923423923742,0.09140497273864939,2.1964857254952026,3.7563518068476545,5.706577646983723
dbscan_0.1 + static_γ=1.0,0.6824833288435311,0.19413606784801213,0.08072247187245908,2.679928978124947,6.156068706253707,8.454688180533543
dbscan_0.1 + static_γ=1.25,0.8701911747885517,0.2067243916530715,0.07106881104860491,3.028383119873865,6.891999330730274,12.244346879440776
dbscan_0.1 + static_γ=1.5,1.074730533126856,0.23455823490369357,0.09682973208548618,3.1115142130737663,5.660959792001715,11.099179043251194
dbscan_0.1 + static_γ=2.0,1.2721895287545366,0.262329438579366,0.18635345900633898,3.128676374144646,4.7367268563443155,6.8267556477782465
agglo_0.5 + static_γ=0.5,0.5196953781698824,0.12976004616810682,0.07896894906817942,3.2252601477395304,6.220714191295196,6.581009172620406
agglo_0.5 + static_γ=0.75,0.5940217479747482,0.13936717274731245,0.05338394808831428,3.3455527204259665,7.709256994946434,11.127347625020999
agglo_0.5 + static_γ=1.0,0.6596109230291195,0.1493641686999024,0.06475152356319475,3.391597834931268,9.226186739455695,10.186801587538973
agglo_0.5 + static_γ=1.25,0.7297687449107108,0.15636437887426702,0.058853479801045716,3.5045560252134877,9.88249687467422,12.399755246039744
agglo_0.5 + static_γ=1.5,0.804204867232233,0.17261694056915883,0.07264195607989996,3.4186678086995235,9.310826350264554,11.070804127957075
agglo_0.5 + static_γ=2.0,0.9695884128128012,0.2245812417221958,0.15377351464263225,3.0181710111558364,4.819586067138082,6.3053017619198775
